ano,codigo_sgif,tipo,distrito,concelho,freguesia,local,ine,x,y,data_alerta,hora_alerta,data_extincao,hora_extincao,data_primeira_intervencao,hora_primeira_intervencao,fonte_alerta,nut,area_povoamento,area_mato,area_agricola,area_pov_mato,area_total,reacendimento,queimada,falso_alarme,fogacho,incendio,agricola,perimetro,aps,causa,tipo_causa,regiao_prof,ugf
2013,RO2134,Florestal,Lisboa,Torres Vedras,Ramalhal,Quinta da Gaga,111311,104848,240177,2013-02-06,16:40:00,2013-02-06,17:40:00,2013-02-06,16:48:00,Outros,PT13011311,0,0.1,0,0.1,0.1,0,0,0,1,0,0,,,630,Desconhecida,Ribatejo e Oeste,Oeste
2013,BI11311,Queimada,Guarda,Sabugal,Sortelha,SORTELHA - EN 542 - ÁGUAS RÁDIO,91133,277399,373799,2013-02-05,13:37:00,2013-02-05,15:36:00,2013-02-05,14:15:00,Outros,PT12080833,0,0.1,0,0.1,0.1,0,1,0,0,0,0,,,122,Negligente,Beira Interior,Beira Interior Norte
2013,BL31310,Falso Alarme,Aveiro,Santa Maria da Feira,Nogueira da Regedoura,Avª da Vessada,10917,161700,448300,2013-02-05,08:40:00,2013-02-05,09:50:00,2013-02-05,09:00:00,117,PT11060217,0,0,0,0,0,0,0,1,0,0,0,,,,,Entre Douro e Minho,AMP e Entre Douro e Vouga
2013,RO2135,Florestal,Lisboa,Torres Vedras,Carvoeira,Serra de São Julião,111304,110641,236511,2013-02-05,18:43:00,2013-02-05,19:28:00,2013-02-05,18:58:00,Populares,PT13011304,0,0.002,0,0.002,0.002,0,0,0,1,0,0,,,630,Desconhecida,Ribatejo e Oeste,Oeste
2013,RO3135,Florestal,Setúbal,Seixal,Corroios,QUINTA DAS LAGOAS RUA C,151005,110930,183950,2013-02-06,22:11:00,2013-02-06,22:56:00,2013-02-06,22:16:00,Outros,PT13030705,0,0.0004,0,0.0004,0.0004,0,0,0,1,0,0,,,,,Ribatejo e Oeste,AML
2013,BL31311,Falso Alarme,Aveiro,Santa Maria da Feira,Espargo,EN 223,10905,162200,439300,2013-02-03,18:24:00,2013-02-03,19:10:00,2013-02-03,18:31:00,Populares,PT11060205,0,0,0,0,0,0,0,1,0,0,0,,,,,Entre Douro e Minho,AMP e Entre Douro e Vouga
2013,RO2136,Falso Alarme,Lisboa,Arruda dos Vinhos,Arruda dos Vinhos,ARRUDA,110202,118300,224400,2013-02-07,20:55:00,,,,,Outros,PT13010302,0,0,0,0,0,0,0,1,0,0,0,,,,,Ribatejo e Oeste,Oeste
2013,BI2132,Agrícola,Castelo Branco,Fundão,Fundão,Trigueiros,50417,253398,351961,2013-02-07,18:10:00,2013-02-07,18:30:00,2013-02-07,18:15:00,Populares,PT12100317,0,0,0.0002,0,0.0002,0,0,0,0,0,1,,,124,Negligente,Beira Interior,Beira Interior Norte
2013,AT2132,Falso Alarme,Portalegre,Ponte de Sor,Ponte de Sor,MONTE DO FACUCHO,121303,214479,257228,2013-02-07,16:14:00,,,,,Outros,PT14021303,0,0,0,0,0,0,0,1,0,0,0,,,,,Alentejo,Alto Alentejo
2013,DM2138,Falso Alarme,Porto,Amarante,Oliveira,L.CIMO DE VILA,130124,194300,476099,2013-02-07,17:10:00,2013-02-07,17:46:00,2013-02-07,17:15:00,117,PT11050124,0,0,0,0,0,0,0,1,0,0,0,,,,,Entre Douro e Minho,Tâmega
